i,j,k,l,val
1,0,1,1,1.000
1,0,3,1,1.000
1,0,4,1,1.000
1,0,7,2,0.493
1,0,10,1,0.735
2,0,2,1,1.000
2,0,5,1,0.582
2,0,11,1,1.000
2,0,12,1,1.000
3,4,3,1,1.000
4,1,3,1,1.000
4,1,4,1,1.000
5,0,5,2,0.418
5,9,5,1,0.582
6,0,10,2,0.265
6,8,7,1,0.507
6,9,6,1,1.000
6,9,11,1,1.000
7,1,7,2,0.493
7,6,7,1,0.507
7,6,10,2,0.265
8,0,7,1,0.507
8,0,8,1,1.000
9,0,9,1,1.000
9,12,5,1,0.582
9,12,6,1,1.000
9,12,11,1,1.000
10,1,10,1,0.735
10,7,10,2,0.265
11,6,11,1,1.000
12,0,6,1,1.000
12,2,5,1,0.582
12,2,11,1,1.000
12,2,12,1,1.000
