1; 1; 11072.67; 1.58; 200.02 
1; 2; 11592.02; 0.89; 14.20 
1; 3; 12582.77; 1.00; 23.74 
1; 4; 13759.19; 0.96; 16.67 
1; 5; 15207.18; 0.73; 14.34 
2; 1; 10914.68; 0.00; 1.00 
2; 2; 11626.16; 0.54; 5.85 
2; 3; 12431.09; 0.86; 8.46 
2; 4; 13315.49; 0.30; 6.58 
2; 5; 14389.08; 0.66; 7.83 
3; 1; 9444.79; 2.48; 223.54 
3; 2; 9705.48; 0.99; 11.47 
3; 3; 10559.29; 0.98; 20.22 
3; 4; 11574.17; 0.97; 19.26 
3; 5; 12807.04; 0.99; 41.83 
4; 1; 14324.60; 1.65; 216.35 
4; 2; 15076.16; 0.98; 59.85 
4; 3; 16632.00; 1.00; 97.86 
4; 4; 18582.81; 1.03; 215.96 
4; 5; 20753.77; 0.98; 97.27 
5; 1; 13247.75; 1.69; 212.27 
5; 2; 13849.00; 1.00; 12.56 
5; 3; 14949.56; 0.73; 17.04 
5; 4; 16531.97; 0.97; 20.71 
5; 1; 13247.75; 0.00; 1.64 
5; 2; 13849.00; 0.00; 1.68 
5; 3; 14949.56; 0.00; 1.27 
5; 4; 16531.97; 0.00; 1.09 
5; 5; 8320.12; 0.94; 20.15 
6; 1; 19455.03; 2.10; 200.02 
6; 2; 20446.32; 0.94; 48.70 
6; 3; 21880.92; 0.95; 111.47 
6; 4; 23967.75; 0.89; 44.41 
6; 1; 19455.03; 0.00; 1.38 
6; 2; 20446.32; 0.00; 0.91 
6; 3; 21880.92; 0.00; 1.83 
6; 4; 23967.75; 0.00; 1.02 
6; 5; 11811.00; 0.79; 57.55 
