1; 1; 11252.15; 4.98; 2.91 
1; 2; 11642.76; 3.36; 2.83 
1; 3; 12652.11; 4.97; 6.15 
1; 4; 13849.99; 4.98; 7.09 
1; 5; 15333.40; 4.66; 8.81 
2; 1; 10914.68; 0.00; 0.93 
2; 2; 11712.47; 4.81; 3.47 
2; 3; 12431.09; 4.29; 3.35 
2; 4; 13766.80; 4.85; 5.20 
2; 5; 14445.92; 4.91; 3.96 
3; 1; 9460.31; 4.68; 2.36 
3; 2; 9801.15; 4.95; 3.25 
3; 3; 10656.39; 4.90; 6.04 
3; 4; 11655.81; 4.43; 9.47 
3; 5; 12988.65; 4.95; 16.50 
4; 1; 14344.52; 4.34; 1.26 
4; 2; 15178.10; 4.82; 4.14 
4; 3; 16633.14; 4.93; 11.06 
4; 4; 18695.40; 4.92; 25.95 
4; 5; 21181.89; 3.87; 27.26 
5; 1; 13385.59; 4.81; 1.56 
5; 2; 13967.53; 4.87; 2.89 
5; 3; 15113.21; 4.93; 5.23 
5; 4; 16653.23; 4.87; 7.25 
5; 1; 6401.71; 4.91; 3.11 
5; 2; 6644.38; 4.70; 3.51 
5; 3; 7145.09; 4.98; 6.18 
5; 4; 7708.29; 4.84; 9.27 
5; 5; 8344.74; 4.46; 10.23 
