1; 1; 11072.67; 1.58; 209.66 
1; 2; 11592.02; 0.89; 10.98 
1; 3; 12582.77; 1.00; 18.09 
1; 4; 13759.19; 0.96; 13.06 
1; 5; 15207.18; 0.73; 11.32 
2; 1; 10914.68; 0.00; 0.85 
2; 2; 11626.16; 0.54; 5.06 
2; 3; 12431.09; 0.86; 5.77 
2; 4; 13315.49; 0.30; 5.85 
2; 5; 14389.08; 0.66; 7.04 
3; 1; 9444.79; 2.47; 218.94 
3; 2; 9705.48; 0.99; 8.58 
3; 3; 10559.29; 0.98; 15.28 
3; 4; 11574.17; 0.97; 14.16 
3; 5; 12807.04; 0.99; 34.17 
4; 1; 14324.60; 1.63; 200.05 
4; 2; 15076.16; 0.98; 47.23 
4; 3; 16632.00; 1.00; 75.19 
4; 4; 18582.81; 1.00; 180.07 
4; 5; 20753.77; 0.98; 74.10 
5; 1; 13247.75; 0.99; 194.65 
5; 2; 13849.00; 1.00; 9.74 
5; 3; 14949.56; 0.73; 13.08 
5; 4; 16531.97; 0.97; 15.81 
5; 1; 13247.75; 0.00; 1.27 
5; 2; 13849.00; 0.00; 1.37 
5; 3; 14949.56; 0.00; 1.10 
5; 4; 16531.97; 0.00; 0.92 
5; 5; 8320.12; 0.94; 15.41 
