1; 1; 11252.15; 4.98; 3.62 
1; 2; 11642.76; 3.36; 3.53 
1; 3; 12652.11; 4.97; 6.73 
1; 4; 13849.99; 4.98; 8.55 
1; 5; 15333.40; 4.66; 8.68 
2; 1; 10914.68; 0.00; 1.09 
2; 2; 11712.47; 4.81; 3.72 
2; 3; 12431.09; 4.29; 4.00 
2; 4; 13766.80; 4.85; 6.28 
2; 5; 14445.92; 4.91; 4.59 
3; 1; 9460.31; 4.68; 2.74 
3; 2; 9801.15; 4.95; 3.48 
3; 3; 10656.39; 4.90; 6.89 
3; 4; 11655.81; 4.43; 11.25 
3; 5; 12988.65; 4.95; 18.50 
4; 1; 14344.52; 4.34; 1.42 
4; 2; 15178.10; 4.82; 4.73 
4; 3; 16633.14; 4.93; 13.09 
4; 4; 18695.40; 4.92; 30.01 
4; 5; 21181.89; 3.87; 32.18 
5; 1; 13385.59; 4.81; 1.73 
5; 2; 13967.53; 4.87; 3.30 
5; 3; 15113.21; 4.93; 5.84 
5; 4; 16653.23; 4.87; 8.54 
5; 1; 13385.59; 0.00; 1.73 
5; 2; 13967.53; 0.00; 1.35 
5; 3; 15113.21; 0.00; 1.49 
5; 4; 16653.23; 0.00; 1.22 
5; 5; 8344.74; 4.46; 12.01 
6; 1; 19515.54; 3.37; 1.26 
6; 2; 20457.88; 4.99; 10.07 
6; 3; 21880.92; 4.93; 31.72 
6; 4; 24082.81; 4.29; 27.06 
6; 1; 19515.54; 0.00; 1.80 
6; 2; 20457.88; 0.00; 1.06 
6; 3; 21880.92; 0.00; 1.59 
6; 4; 24082.81; 0.00; 1.02 
6; 5; 11879.45; 4.97; 13.13 
